"","store_key","month_key","size_key","dough_key","cheese_key","topping_key","amount","profit"
"1",1,12,1,1,3,3,9,1
"2",1,12,3,1,2,3,19,3
"3",1,12,1,1,2,1,8,1
"4",1,12,3,1,2,1,17,3
"5",1,12,4,3,2,4,43,4
"6",1,12,4,3,1,3,46,4
"7",1,12,3,3,1,4,17,3
"8",1,12,1,3,2,3,3,1
"9",1,12,3,3,1,3,20,3
"10",1,12,4,3,2,2,46,4
"11",1,12,2,2,2,4,4,2
"12",1,12,3,1,1,1,18,3
"13",1,12,3,3,2,1,14,3
"14",1,12,2,3,3,1,7,2
"15",1,12,1,3,2,1,2,1
"16",1,12,4,3,1,3,44,4
"17",1,12,4,2,2,3,43,4
"18",1,12,2,1,2,3,3,2
"19",1,12,3,3,2,2,21,3
"20",1,12,4,2,2,1,37,4
"21",1,12,2,3,1,4,7,2
"22",1,12,1,1,2,1,1,1
"23",1,12,1,3,2,1,5,1
"24",1,12,2,3,2,1,3,2
"25",1,12,1,3,3,3,7,1
"26",1,12,1,2,1,1,5,1
"27",1,12,4,2,3,2,42,4
"28",1,12,3,3,1,4,19,3
"29",1,12,2,2,3,4,7,2
"30",1,12,3,2,3,2,16,3
"31",1,12,4,2,3,1,41,4
"32",1,12,2,3,3,4,5,2
"33",1,12,3,2,2,2,20,3
"34",1,12,4,3,1,1,37,4
"35",1,12,1,1,1,2,4,1
"36",1,12,3,3,2,2,21,3
"37",1,12,1,2,2,4,1,1
"38",1,12,2,2,1,3,4,2
"39",1,12,4,3,2,3,44,4
"40",1,12,1,2,3,1,1,1
"41",1,12,2,2,2,2,9,2
"42",1,12,4,2,3,4,41,4
"43",1,12,1,3,2,1,4,1
"44",1,12,1,3,1,2,9,1
"45",1,12,1,3,3,2,9,1
"46",1,12,3,3,1,4,21,3
"47",1,12,2,1,2,2,10,2
"48",1,12,4,1,1,3,44,4
"49",1,12,3,3,1,3,15,3
"50",1,12,3,2,3,1,13,3
"51",1,12,2,2,2,1,6,2
"52",1,12,2,3,3,4,10,2
"53",1,12,4,1,2,1,38,4
"54",1,12,1,1,1,2,2,1
"55",1,12,3,2,3,2,18,3
"56",1,12,1,2,2,1,7,1
"57",1,12,4,1,2,3,43,4
"58",1,12,1,2,1,2,2,1
"59",1,12,1,2,2,4,1,1
"60",1,12,3,2,1,4,13,3
"61",1,12,1,1,3,4,2,1
"62",1,12,3,3,2,3,18,3
"63",1,12,1,2,3,4,1,1
"64",1,12,2,1,1,4,2,2
"65",1,12,1,3,1,4,4,1
"66",1,12,3,2,3,1,19,3
"67",1,12,3,2,2,4,20,3
"68",1,12,2,1,2,4,3,2
"69",1,12,1,1,2,2,10,1
"70",1,12,3,2,3,3,14,3
"71",1,12,1,1,1,3,8,1
"72",1,12,4,3,2,4,40,4
"73",1,12,4,3,1,2,46,4
"74",1,12,1,1,1,2,10,1
"75",1,12,2,1,3,4,2,2
"76",1,12,1,1,2,4,9,1
"77",1,12,2,2,1,2,7,2
"78",1,12,4,3,2,4,42,4
"79",1,12,2,3,2,1,4,2
"80",1,12,1,2,1,4,9,1
"81",1,12,2,3,1,4,2,2
"82",1,12,1,3,3,4,10,1
"83",1,12,3,2,3,4,22,3
"84",1,12,3,1,2,4,16,3
"85",1,12,3,2,3,4,22,3
"86",1,12,1,3,2,1,6,1
"87",1,12,4,2,2,3,38,4
"88",1,12,4,3,3,3,39,4
"89",1,12,3,1,1,4,18,3
"90",1,11,1,2,3,4,10,1
"91",1,11,1,2,2,4,3,1
"92",1,11,1,2,2,1,4,1
"93",1,11,2,1,3,4,8,2
"94",1,11,3,2,1,3,13,3
"95",1,11,4,2,1,2,38,4
"96",1,11,1,1,3,1,1,1
"97",1,11,3,2,3,2,21,3
"98",1,11,3,2,2,4,19,3
"99",1,11,1,3,3,3,10,1
"100",1,11,4,3,1,3,43,4
"101",1,11,4,2,1,1,41,4
"102",1,11,4,3,1,3,39,4
"103",1,11,2,1,1,1,4,2
"104",1,11,2,2,3,3,7,2
"105",1,11,4,1,3,1,37,4
"106",1,11,1,1,1,2,1,1
"107",1,11,4,1,3,3,42,4
"108",1,11,3,1,2,2,15,3
"109",1,11,2,2,3,1,7,2
"110",1,11,1,3,3,1,8,1
"111",1,11,4,3,2,3,39,4
"112",1,11,4,2,2,1,42,4
"113",1,11,1,2,1,4,5,1
"114",1,11,4,3,1,1,40,4
"115",1,11,2,1,1,1,1,2
"116",1,11,1,3,3,2,5,1
"117",1,11,3,3,2,3,13,3
"118",1,11,4,2,2,4,37,4
"119",1,11,1,3,2,4,6,1
"120",1,11,1,2,1,2,5,1
"121",1,11,4,3,3,3,41,4
"122",1,11,1,2,1,2,9,1
"123",1,11,2,2,1,2,3,2
"124",1,11,1,2,3,2,9,1
"125",1,11,3,2,2,3,16,3
"126",1,11,4,1,3,2,38,4
"127",1,11,2,1,3,1,8,2
"128",1,11,1,1,1,2,6,1
"129",1,11,1,2,1,1,7,1
"130",1,11,3,3,1,1,19,3
"131",1,11,1,3,2,1,4,1
"132",1,11,3,1,1,3,14,3
"133",1,11,1,1,2,1,1,1
"134",1,11,3,3,2,1,18,3
"135",1,11,4,1,3,4,36,4
"136",1,11,1,3,3,1,1,1
"137",1,11,3,1,1,3,12,3
"138",1,11,3,2,3,2,20,3
"139",1,11,3,1,2,3,21,3
"140",1,11,2,2,2,1,4,2
"141",1,11,2,2,3,2,1,2
"142",1,11,2,2,3,3,5,2
"143",1,11,3,2,3,4,18,3
"144",1,11,1,1,1,2,3,1
"145",1,11,3,1,1,2,20,3
"146",1,11,1,1,1,4,10,1
"147",1,11,3,2,2,3,12,3
"148",1,11,1,3,1,3,9,1
"149",1,11,1,2,3,3,3,1
"150",1,11,4,3,1,1,36,4
"151",1,11,3,3,2,3,17,3
"152",1,11,1,3,3,3,10,1
"153",1,11,4,2,3,4,34,4
"154",1,11,2,3,3,3,3,2
"155",1,11,2,2,3,4,3,2
"156",1,11,1,3,3,2,8,1
"157",1,11,3,2,2,1,12,3
"158",1,11,4,2,1,4,43,4
"159",1,11,3,1,3,4,21,3
"160",1,11,1,1,1,2,8,1
"161",1,11,1,3,2,4,2,1
"162",1,11,1,2,2,1,5,1
"163",1,11,1,2,1,4,10,1
"164",1,11,3,1,2,4,17,3
"165",1,11,1,1,3,2,1,1
"166",1,11,2,1,3,4,6,2
"167",1,11,4,3,2,2,39,4
"168",1,11,2,1,1,3,5,2
"169",1,11,4,3,3,1,37,4
"170",1,11,4,3,3,4,41,4
"171",1,11,1,1,1,4,10,1
"172",1,11,4,3,1,3,37,4
"173",1,11,1,3,3,2,3,1
"174",1,11,3,2,3,1,21,3
"175",1,11,4,1,2,4,38,4
"176",1,11,3,2,2,1,12,3
"177",1,11,3,3,2,3,14,3
"178",1,11,1,2,2,3,4,1
"179",1,11,4,2,1,1,36,4
"180",1,11,2,3,1,3,9,2
"181",1,11,4,2,2,1,41,4
"182",1,11,2,1,1,2,5,2
"183",1,11,1,1,1,2,7,1
"184",1,11,2,1,3,2,1,2
"185",1,11,3,2,3,4,21,3
"186",1,11,2,2,1,2,4,2
"187",1,11,1,3,1,1,4,1
"188",1,11,1,3,1,2,2,1
"189",1,11,2,2,3,3,2,2
"190",1,11,2,3,3,2,10,2
"191",1,11,3,1,2,1,13,3
"192",1,11,2,3,1,3,10,2
"193",1,11,3,2,2,4,19,3
"194",1,11,4,3,3,3,35,4
"195",1,11,3,2,2,1,19,3
"196",1,11,3,1,2,4,14,3
"197",1,10,2,3,1,1,1,2
"198",1,10,4,3,2,1,31,4
"199",1,10,4,2,3,1,32,4
"200",1,10,4,2,3,3,31,4
"201",1,10,3,3,1,3,14,3
"202",1,10,4,1,3,3,39,4
"203",1,10,1,2,1,2,9,1
"204",1,10,3,2,3,2,13,3
"205",1,10,4,2,2,1,40,4
"206",1,10,2,1,1,3,8,2
"207",1,10,3,3,3,3,13,3
"208",1,10,3,2,2,4,16,3
"209",1,10,4,3,1,4,34,4
"210",1,10,3,1,3,2,15,3
"211",1,10,3,3,1,1,15,3
"212",1,10,2,2,1,2,3,2
"213",1,10,4,3,1,3,34,4
"214",1,10,3,1,3,1,13,3
